[2026-04-04T01:35:07.605Z] GET http://127.0.0.1:8765/index.html → 200 (1ms, 107012B)
[2026-04-04T01:35:07.610Z] GET https://fonts.googleapis.com/css2?family=Orbitron:wght@400;700;900&family=JetBrains+Mono:wght@400;500;700&family=Rajdhani:wght@300;400;500;600;700&family=Cinzel:wght@400;700&display=swap → 200 (117ms, 16389B)
[2026-04-04T01:35:07.777Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (123ms, 31432B)
[2026-04-04T01:35:07.777Z] GET https://fonts.gstatic.com/s/orbitron/v35/yMJRMIlzdpvBhQQL_Qq7dy0.woff2 → 200 (131ms, 11800B)
[2026-04-04T01:35:07.777Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDI2apCSOBg7S-QT7pbYF_Oreec.woff2 → 200 (110ms, 15732B)
[2026-04-04T01:35:07.777Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDIxapCSOBg7S-QT7p4HM-Y.woff2 → 200 (129ms, 14976B)
[2026-04-04T01:35:14.792Z] GET http://127.0.0.1:8765/index.html → 200 (1ms, 107012B)
[2026-04-04T01:35:14.799Z] GET https://fonts.googleapis.com/css2?family=Orbitron:wght@400;700;900&family=JetBrains+Mono:wght@400;500;700&family=Rajdhani:wght@300;400;500;600;700&family=Cinzel:wght@400;700&display=swap → 200 (128ms, 16389B)
[2026-04-04T01:35:14.934Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (1ms, 31432B)
[2026-04-04T01:35:14.934Z] GET https://fonts.gstatic.com/s/orbitron/v35/yMJRMIlzdpvBhQQL_Qq7dy0.woff2 → 200 (1ms, 11800B)
[2026-04-04T01:35:14.934Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDI2apCSOBg7S-QT7pbYF_Oreec.woff2 → 200 (3ms, 15732B)
[2026-04-04T01:35:14.934Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDIxapCSOBg7S-QT7p4HM-Y.woff2 → 200 (4ms, 14976B)
[2026-04-04T01:35:39.122Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDI2apCSOBg7S-QT7pa8FvOreec.woff2 → 200 (53ms, 15688B)
[2026-04-04T01:45:37.157Z] GET http://127.0.0.1:8765/ → 200 (1ms, 107012B)
[2026-04-04T01:45:37.163Z] GET https://fonts.googleapis.com/css2?family=Orbitron:wght@400;700;900&family=JetBrains+Mono:wght@400;500;700&family=Rajdhani:wght@300;400;500;600;700&family=Cinzel:wght@400;700&display=swap → 200 (?ms, 16389B)
[2026-04-04T01:45:37.175Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (?ms, ?B)
[2026-04-04T01:45:37.175Z] GET https://fonts.gstatic.com/s/orbitron/v35/yMJRMIlzdpvBhQQL_Qq7dy0.woff2 → 200 (?ms, ?B)
[2026-04-04T01:45:37.175Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDIxapCSOBg7S-QT7p4HM-Y.woff2 → 200 (?ms, ?B)
[2026-04-04T01:45:37.175Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDI2apCSOBg7S-QT7pbYF_Oreec.woff2 → 200 (?ms, ?B)
[2026-04-04T01:45:37.176Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDI2apCSOBg7S-QT7pa8FvOreec.woff2 → 200 (?ms, ?B)
[2026-04-04T01:45:55.820Z] GET http://127.0.0.1:8765/ → 200 (1ms, 107012B)
[2026-04-04T01:45:55.826Z] GET https://fonts.googleapis.com/css2?family=Orbitron:wght@400;700;900&family=JetBrains+Mono:wght@400;500;700&family=Rajdhani:wght@300;400;500;600;700&family=Cinzel:wght@400;700&display=swap → 200 (?ms, 16389B)
[2026-04-04T01:45:55.832Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (?ms, ?B)
[2026-04-04T01:45:55.836Z] GET https://fonts.gstatic.com/s/orbitron/v35/yMJRMIlzdpvBhQQL_Qq7dy0.woff2 → 200 (?ms, ?B)
[2026-04-04T01:45:55.836Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDIxapCSOBg7S-QT7p4HM-Y.woff2 → 200 (?ms, ?B)
[2026-04-04T01:45:55.836Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDI2apCSOBg7S-QT7pbYF_Oreec.woff2 → 200 (?ms, ?B)
[2026-04-04T01:45:55.836Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDI2apCSOBg7S-QT7pa8FvOreec.woff2 → 200 (?ms, ?B)
[2026-04-04T01:46:01.357Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDI2apCSOBg7S-QT7pb0EPOreec.woff2 → 200 (44ms, 15084B)
[2026-04-04T01:46:01.357Z] GET https://fonts.gstatic.com/s/cinzel/v26/8vIJ7ww63mVu7gt79mT7.woff2 → 200 (48ms, 25904B)
[2026-04-04T01:47:39.526Z] GET http://127.0.0.1:8765/?v=4 → 200 (3ms, 110931B)
[2026-04-04T01:47:39.533Z] GET https://fonts.googleapis.com/css2?family=Orbitron:wght@400;700;900&family=JetBrains+Mono:wght@400;500;700&family=Rajdhani:wght@300;400;500;600;700&family=Cinzel:wght@400;700&display=swap → 200 (?ms, 16389B)
[2026-04-04T01:47:39.543Z] GET https://fonts.gstatic.com/s/cinzel/v26/8vIJ7ww63mVu7gt79mT7.woff2 → 200 (?ms, ?B)
[2026-04-04T01:47:39.543Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (?ms, ?B)
[2026-04-04T01:47:39.543Z] GET https://fonts.gstatic.com/s/orbitron/v35/yMJRMIlzdpvBhQQL_Qq7dy0.woff2 → 200 (1ms, ?B)
[2026-04-04T01:47:39.544Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDIxapCSOBg7S-QT7p4HM-Y.woff2 → 200 (?ms, ?B)
[2026-04-04T01:47:39.544Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDI2apCSOBg7S-QT7pb0EPOreec.woff2 → 200 (?ms, ?B)
[2026-04-04T01:47:39.544Z] GET https://fonts.gstatic.com/s/rajdhani/v17/LDI2apCSOBg7S-QT7pbYF_Oreec.woff2 → 200 (?ms, ?B)
